idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,rviento,tss5cm,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,psoltp,pliqt,geo700,indicativo,provincia
B278,2.736706,2024-01-07T19:00:00,0.0,8.0,9.3,5.1,310.0,39.5608,310.0,PALMA DE MALLORCA/SON SANT JOAN,58.0,11.0,11.2,11.4,1012.9,1.0,10.7,1013.5,3.2,,5.0,0.0,,,,,,,,,,,,,,,,,B278,ILLES BALEARS
B434X,3.271687,2024-01-07T19:00:00,0.0,17.0,9.8,4.4,319.0,39.414555,320.0,PORTO COLOM,49.0,10.6,10.9,11.3,1010.6,,9.5,1012.7,0.6,20.0,,0.0,,9.3,,,,,,,,,,,,0.0,0.0,,B434X,ILLES BALEARS
B569X,3.478002,2024-01-07T19:00:00,0.0,57.0,9.3,1.7,308.0,39.716694,312.0,CAPDEPERA-FARO,52.0,11.5,11.8,11.9,,,,,2.3,,,,134.0,,,,,,,,,,,,,,,,B569X,ILLES BALEARS
B691Y,3.01667,2024-01-07T19:00:00,0.0,40.0,10.0,3.1,283.0,39.749165,302.0,SA POBLA-SA CANOVA,48.0,11.1,11.7,11.8,1009.1,,8.6,1013.9,1.1,,,0.0,,12.6,,,,,,,,,,,,,,,B691Y,ILLES BALEARS
B893,4.215556,2024-01-07T19:00:00,0.0,91.0,11.3,4.8,340.0,39.854725,10.0,MENORCA/AEROPUERTO,56.0,8.1,9.3,9.6,1001.8,1.2,7.0,1012.2,1.1,,4.0,0.0,,,,,,,,,,,,,,,,,B893,ILLES BALEARS
B954,1.384446,2024-01-07T19:00:00,0.0,6.0,14.4,8.1,330.0,38.876385,330.0,IBIZA/ES CODOLÁ,36.0,12.8,12.9,13.5,1014.3,1.3,12.0,1015.1,-2.0,,5.0,0.0,,,,,,,,,,,,,,,,,B954,ILLES BALEARS
C029O,-13.600279,2024-01-07T19:00:00,0.0,14.0,10.8,4.0,350.0,28.951942,350.0,LANZAROTE/AEROPUERTO,72.0,18.6,18.7,19.6,1018.5,0.5,18.8,1023.1,13.6,,5.0,0.0,,,,,,,,,,,,,,,,,C029O,LAS PALMAS
C129Z,-17.915277,2024-01-07T19:00:00,0.0,62.0,1.1,0.0,172.0,28.595833,296.0,TAZACORTE,71.0,20.0,20.0,20.8,1012.4,,,1019.7,14.6,,,,3.0,,,,,,,,,,,,,,,,C129Z,STA. CRUZ DE TENERIFE
C139E,-17.755005,2024-01-07T19:00:00,0.0,33.0,4.1,2.5,280.0,28.633057,280.0,LA PALMA/AEROPUERTO,80.0,18.8,18.9,20.5,1015.0,0.1,,1018.7,15.3,,4.0,0.0,,,,,,,,,,,,,,,,,C139E,STA. CRUZ DE TENERIFE
C229J,-14.358002,2024-01-07T19:00:00,0.0,15.0,2.2,0.4,120.0,28.04904,107.0,PÁJARA-PUERTO MORRO JABLE,71.0,19.8,19.9,20.3,1020.4,,,1022.2,14.5,,,,24.0,,,,,,,,,,,,,,,,C229J,LAS PALMAS
